week_end_date,Australia,FloridaUSA,GeorgiaUSA,IllinoisUSA,MichiganUSA,Other (USA),Other (intl.),TexasUSA
2020-03-01,,,,,,1.0,,
2020-03-08,1.0,2.0,6.0,,,7.0,,
2020-03-15,15.0,,33.0,2.0,2.0,47.0,5.0,1.0
2020-03-22,16.0,14.0,21.0,17.0,20.0,79.0,7.0,24.0
2020-03-29,1.0,10.0,1.0,9.0,7.0,54.0,14.0,26.0
2020-04-05,,4.0,4.0,,2.0,23.0,11.0,30.0
2020-04-12,,18.0,4.0,1.0,1.0,9.0,12.0,23.0
2020-04-19,,15.0,1.0,4.0,2.0,17.0,2.0,6.0
2020-04-26,,6.0,1.0,1.0,,5.0,,6.0
2020-05-03,,,,1.0,,3.0,,6.0
2020-05-10,,1.0,1.0,,,2.0,,
2020-05-17,,2.0,,1.0,,,,2.0
2020-05-24,,,,,,2.0,2.0,1.0
2020-05-31,,,,1.0,,9.0,,1.0
2020-06-28,,,,1.0,,,,
2020-07-05,,,1.0,,,,,
2020-08-23,,,,,,,,1.0
